t: 25.96, u: 1.00, e: -4.04, s: 30.00
t: 25.92, u: 1.01, e: -4.08, s: 30.00
t: 25.96, u: 1.02, e: -4.13, s: 30.00
t: 25.91, u: 1.01, e: -4.08, s: 30.00
t: 25.87, u: 1.01, e: -4.08, s: 30.00
t: 25.92, u: 1.02, e: -4.11, s: 30.00
t: 25.87, u: 1.02, e: -4.13, s: 30.00
t: 25.85, u: 1.03, e: -4.17, s: 30.00
t: 25.74, u: 1.06, e: -4.29, s: 30.00
t: 25.71, u: 1.06, e: -4.29, s: 30.00
t: 25.69, u: 1.07, e: -4.31, s: 30.00
t: 25.69, u: 1.06, e: -4.27, s: 30.00
t: 25.71, u: 1.07, e: -4.35, s: 30.00
t: 25.65, u: 1.07, e: -4.31, s: 30.00
t: 25.71, u: 1.07, e: -4.35, s: 30.00
t: 25.69, u: 1.07, e: -4.31, s: 30.00
t: 25.67, u: 1.07, e: -4.33, s: 30.00
t: 25.71, u: 1.10, e: -4.44, s: 30.00
t: 25.58, u: 1.09, e: -4.40, s: 30.00
t: 25.56, u: 1.08, e: -4.38, s: 30.00
t: 25.65, u: 1.09, e: -4.40, s: 30.00
t: 25.81, u: 1.10, e: -4.44, s: 30.00
t: 25.67, u: 1.07, e: -4.33, s: 30.00
t: 25.92, u: 1.01, e: -4.08, s: 30.00
t: 25.99, u: 1.04, e: -4.20, s: 30.00
t: 25.97, u: 1.01, e: -4.08, s: 30.00
t: 26.01, u: 0.97, e: -3.92, s: 30.00
t: 26.10, u: 0.96, e: -3.86, s: 30.00
t: 26.13, u: 0.90, e: -3.65, s: 30.00
t: 26.44, u: 0.88, e: -3.56, s: 30.00
t: 26.40, u: 0.85, e: -3.45, s: 30.00
t: 26.71, u: 0.82, e: -3.31, s: 30.00
t: 27.03, u: 1.62, e: -2.98, s: 30.00
t: 27.05, u: 1.63, e: -3.00, s: 30.00
t: 27.11, u: 1.55, e: -2.86, s: 30.00
t: 27.50, u: 1.36, e: -2.50, s: 30.00
t: 27.63, u: 1.29, e: -2.37, s: 30.00
t: 27.74, u: 1.19, e: -2.19, s: 30.00
t: 28.07, u: 1.08, e: -1.99, s: 30.00
t: 28.27, u: 0.93, e: -1.71, s: 30.00
t: 28.38, u: 0.88, e: -1.62, s: 30.00
t: 28.71, u: 0.39, e: -1.31, s: 30.00
t: 28.82, u: 0.39, e: -1.15, s: 30.00
t: 29.13, u: 0.39, e: -1.00, s: 30.00
t: 29.15, u: 0.39, e: -0.87, s: 30.00
t: 29.35, u: 0.39, e: -0.63, s: 30.00
t: 29.53, u: 0.39, e: -0.48, s: 30.00
t: 29.65, u: 0.39, e: -0.04, s: 30.00
t: 29.89, u: 0.39, e: -0.19, s: 30.00
t: 29.98, u: 0.39, e: -0.02, s: 30.00
t: 30.13, u: 0.39, e: 0.16, s: 30.00
t: 30.27, u: 0.00, e: 0.31, s: 30.00
t: 30.41, u: 0.00, e: 0.31, s: 30.00
t: 30.54, u: 0.00, e: 0.31, s: 30.00
t: 30.65, u: 0.00, e: 0.31, s: 30.00
t: 30.73, u: 0.00, e: 0.31, s: 30.00
t: 30.76, u: 0.00, e: 0.31, s: 30.00
t: 30.74, u: 0.00, e: 0.31, s: 30.00
t: 30.76, u: 0.00, e: 0.31, s: 30.00
t: 30.74, u: 0.00, e: 0.31, s: 30.00
t: 30.73, u: 0.00, e: 0.31, s: 30.00
t: 30.69, u: 0.00, e: 0.31, s: 30.00
t: 30.59, u: 0.00, e: 0.31, s: 30.00
t: 30.50, u: 0.00, e: 0.31, s: 30.00
t: 30.43, u: 0.00, e: 0.31, s: 30.00
t: 30.41, u: 0.00, e: 0.31, s: 30.00
t: 30.32, u: 0.00, e: 0.31, s: 30.00
